Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
BFC18-279-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-283-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-285-T,A. aff. tenuis,Chagos northern atolls,2018,07/04/2018,Chagos,Salomon,Ile de Passe,-5.29883,72.25517,"c(72.25517, -5.29883)"
BFC18-307-T,A. aff. tenuis,Chagos northern atolls,2018,09/04/2018,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC18-309-T,A. aff. tenuis,Chagos northern atolls,2018,09/04/2018,Chagos,Great Chagos Bank,Nelson seaward,-5.679483333,72.315,"c(72.315, -5.679483333)"
BFC18-337-T,A. aff. tenuis,Chagos western atolls,2018,10/04/2018,Chagos,Great Chagos Bank,South Brother,-6.173066667,71.5373333,"c(71.5373333, -6.173066667)"
BFC18-349-T,A. aff. tenuis,Chagos western atolls,2018,11/04/2018,Chagos,Great Chagos Bank,Middle Brother lagoon,-6.15308,71.5198,"c(71.5198, -6.15308)"
BFC18-375-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-376-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-377-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-378-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-380-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-381-T,A. aff. tenuis,Chagos western atolls,2018,14/04/2018,Chagos,Egmont,Egmont Mid,-6.6434,71.358,"c(71.358, -6.6434)"
BFC18-396-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-398-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-400-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-401-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-403-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-404-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC18-405-T,A. aff. tenuis,Diego Garcia,2018,15/04/2018,Chagos,Diego Garcia,Barton Point,-7.23317,72.43867,"c(72.43867, -7.23317)"
BFC19-016-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-018-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-024-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-025-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-026-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-027-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-029-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-030-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-034-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-041-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-042-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-043-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-045-T,A. aff. tenuis,Chagos northern atolls,2019,07/03/2019,Chagos,Peros Banhos,Ile du coin,-5.4425,71.767,"c(71.767, -5.4425)"
BFC19-051-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-053-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-054-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-058-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-059-T,A. aff. tenuis,Chagos northern atolls,2019,08/03/2019,Chagos,Peros Banhos,Ile de Poule (outside),-5.4063,71.74625,"c(71.74625, -5.4063)"
BFC19-096-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
BFC19-100-T,A. aff. tenuis,Chagos northern atolls,2019,10/03/2019,Chagos,Salomon,Ile Anglaise seaward,-5.33867,72.21333,"c(72.21333, -5.33867)"
